downtime_id,machine_id,start_time,end_time,downtime_minutes,downtime_reason,planned_unplanned,downtime_hours,start_date,start_year,start_month,start_month_name,start_year_month,is_unplanned
DT-1031,MCH-115,2026-03-09 07:32:14,2026-03-09 11:03:14,211,Sensor fault,Unplanned,2.3444444444444446,2026-03-09,2026,3,March,2026-03,True
DT-1032,MCH-107,2026-03-15 17:05:11,2026-03-15 20:36:11,211,Unknown,Planned,2.3444444444444446,2026-03-15,2026,3,March,2026-03,False
DT-1033,MCH-109,2026-02-13 19:23:17,2026-02-13 22:56:17,213,Software interface issue,Planned,2.3666666666666667,2026-02-13,2026,2,February,2026-02,False
DT-1034,MCH-121,2026-03-23 03:56:56,2026-03-23 09:48:56,352,Operator error,Planned,3.911111111111111,2026-03-23,2026,3,March,2026-03,False
DT-1035,MCH-105,2026-01-13 14:40:56,2026-01-13 15:38:56,58,Operator error,Planned,0.6444444444444445,2026-01-13,2026,1,January,2026-01,False
DT-1036,MCH-113,2026-02-22 14:58:05,2026-02-22 17:36:05,158,Unknown,Planned,1.7555555555555555,2026-02-22,2026,2,February,2026-02,False
DT-1037,MCH-103,2026-02-08 02:16:02,2026-02-08 08:04:02,348,Network disconnect,Planned,3.8666666666666667,2026-02-08,2026,2,February,2026-02,False
DT-1038,MCH-125,2026-04-13 05:35:55,2026-04-13 11:09:55,334,Sensor fault,Unplanned,3.7111111111111112,2026-04-13,2026,4,April,2026-04,True
DT-1039,MCH-109,2026-02-25 12:37:48,2026-02-25 15:16:48,159,Operator error,Planned,1.7666666666666666,2026-02-25,2026,2,February,2026-02,False
DT-1040,MCH-105,2025-12-15 10:25:19,2025-12-15 17:30:19,425,Mechanical failure,Unplanned,4.722222222222222,2025-12-15,2025,12,December,2025-12,True
DT-1041,MCH-127,2026-03-23 10:31:44,2026-03-23 13:46:44,195,Unknown,Planned,2.1666666666666665,2026-03-23,2026,3,March,2026-03,False
DT-1042,MCH-120,2026-03-27 11:50:03,2026-03-27 19:02:03,432,Preventive maintenance,Unplanned,4.8,2026-03-27,2026,3,March,2026-03,True
DT-1043,MCH-130,2026-01-05 09:01:38,2026-01-05 11:50:38,169,Operator error,Planned,1.8777777777777778,2026-01-05,2026,1,January,2026-01,False
DT-1044,MCH-125,2026-03-31 18:49:15,2026-03-31 19:43:15,54,Unknown,Unplanned,0.6,2026-03-31,2026,3,March,2026-03,True
DT-1045,MCH-104,2025-11-25 05:21:38,2025-11-25 11:30:38,369,Power interruption,Planned,4.1,2025-11-25,2025,11,November,2025-11,False
DT-1046,MCH-130,2026-03-08 21:15:44,2026-03-09 02:10:44,295,Unknown,Unplanned,3.2777777777777777,2026-03-08,2026,3,March,2026-03,True
DT-1047,MCH-119,2026-01-11 06:28:13,2026-01-11 08:25:13,117,Network disconnect,Unplanned,1.3,2026-01-11,2026,1,January,2026-01,True
DT-1048,MCH-115,2025-12-17 06:04:15,2025-12-17 14:01:15,477,Power interruption,Planned,5.3,2025-12-17,2025,12,December,2025-12,False
DT-1049,MCH-129,2025-12-11 02:19:36,2025-12-11 06:39:36,260,Operator error,Unplanned,2.888888888888889,2025-12-11,2025,12,December,2025-12,True
DT-1050,MCH-119,2026-03-19 19:02:39,2026-03-19 23:14:39,252,Operator error,Planned,2.8,2026-03-19,2026,3,March,2026-03,False
DT-1051,MCH-113,2026-03-03 11:35:44,2026-03-03 13:56:44,141,Software interface issue,Planned,1.5666666666666667,2026-03-03,2026,3,March,2026-03,False
DT-1052,MCH-105,2026-04-24 19:34:38,2026-04-24 22:51:38,197,Power interruption,Unplanned,2.188888888888889,2026-04-24,2026,4,April,2026-04,True
DT-1053,MCH-115,2026-03-21 09:31:42,2026-03-21 17:16:42,465,Sensor fault,Planned,5.166666666666667,2026-03-21,2026,3,March,2026-03,False
DT-1054,MCH-113,2026-01-21 21:41:09,2026-01-22 03:00:09,319,Mechanical failure,Unplanned,3.5444444444444443,2026-01-21,2026,1,January,2026-01,True
DT-1055,MCH-126,2026-04-10 17:51:34,2026-04-10 23:00:34,309,Mechanical failure,Planned,3.433333333333333,2026-04-10,2026,4,April,2026-04,False
DT-1056,MCH-115,2026-04-12 06:16:12,2026-04-12 11:21:12,305,Power interruption,Planned,3.388888888888889,2026-04-12,2026,4,April,2026-04,False
DT-1057,MCH-108,2026-05-18 01:38:18,2026-05-18 06:15:18,277,Network disconnect,Planned,3.077777777777778,2026-05-18,2026,5,May,2026-05,False
DT-1058,MCH-110,2025-12-13 03:56:28,2025-12-13 09:44:28,348,Software interface issue,Planned,3.8666666666666667,2025-12-13,2025,12,December,2025-12,False
DT-1059,MCH-120,2025-11-23 05:25:00,2025-11-23 08:27:00,182,Power interruption,Planned,2.022222222222222,2025-11-23,2025,11,November,2025-11,False
DT-1060,MCH-111,2026-01-01 14:26:36,2026-01-01 20:37:36,371,Operator error,Planned,4.122222222222222,2026-01-01,2026,1,January,2026-01,False
DT-1061,MCH-111,2026-04-20 05:18:20,2026-04-20 07:33:20,135,Mechanical failure,Unplanned,1.5,2026-04-20,2026,4,April,2026-04,True
DT-1062,MCH-116,2025-11-30 10:56:41,2025-11-30 15:28:41,272,Software interface issue,Unplanned,3.022222222222222,2025-11-30,2025,11,November,2025-11,True
DT-1063,MCH-104,2026-03-13 20:52:52,2026-03-14 03:08:52,376,Software interface issue,Planned,4.177777777777778,2026-03-13,2026,3,March,2026-03,False
DT-1064,MCH-110,2026-01-28 03:22:20,2026-01-28 07:35:20,253,Operator error,Unplanned,2.811111111111111,2026-01-28,2026,1,January,2026-01,True
DT-1065,MCH-121,2026-01-16 10:43:58,2026-01-16 16:59:58,376,Operator error,Planned,4.177777777777778,2026-01-16,2026,1,January,2026-01,False
DT-1066,MCH-113,2026-03-04 05:54:19,2026-03-04 13:03:19,429,Operator error,Unplanned,4.766666666666667,2026-03-04,2026,3,March,2026-03,True
DT-1067,MCH-117,2025-12-06 12:51:56,2025-12-06 16:52:56,241,Unknown,Planned,2.6777777777777776,2025-12-06,2025,12,December,2025-12,False
DT-1068,MCH-119,2025-12-04 23:39:08,2025-12-05 05:05:08,326,Software interface issue,Planned,3.6222222222222222,2025-12-04,2025,12,December,2025-12,False
DT-1069,MCH-124,2026-03-31 10:49:25,2026-03-31 15:45:25,296,Sensor fault,Planned,3.2888888888888888,2026-03-31,2026,3,March,2026-03,False
DT-1070,MCH-110,2026-01-04 21:23:59,2026-01-05 00:45:59,202,Software interface issue,Planned,2.2444444444444445,2026-01-04,2026,1,January,2026-01,False
DT-1071,MCH-118,2026-01-08 20:48:50,2026-01-09 02:54:50,366,Unknown,Planned,4.066666666666666,2026-01-08,2026,1,January,2026-01,False
DT-1072,MCH-101,2026-03-24 09:22:12,2026-03-24 16:29:12,427,Unknown,Unplanned,4.7444444444444445,2026-03-24,2026,3,March,2026-03,True
DT-1073,MCH-130,2026-02-11 17:13:21,2026-02-12 00:31:21,438,Network disconnect,Unplanned,4.866666666666666,2026-02-11,2026,2,February,2026-02,True
DT-1074,MCH-111,2026-02-04 04:09:55,2026-02-04 10:36:55,387,Software interface issue,Planned,4.3,2026-02-04,2026,2,February,2026-02,False
DT-1075,MCH-114,2025-12-27 23:52:21,2025-12-28 00:24:21,32,Unknown,Planned,0.35555555555555557,2025-12-27,2025,12,December,2025-12,False
DT-1076,MCH-110,2026-03-15 14:30:09,2026-03-15 17:39:09,189,Software interface issue,Unplanned,2.1,2026-03-15,2026,3,March,2026-03,True
DT-1077,MCH-114,2026-04-26 23:56:09,2026-04-27 07:14:09,438,Preventive maintenance,Planned,4.866666666666666,2026-04-26,2026,4,April,2026-04,False
DT-1078,MCH-101,2025-11-19 00:03:34,2025-11-19 07:09:34,426,Network disconnect,Planned,4.733333333333333,2025-11-19,2025,11,November,2025-11,False
DT-1079,MCH-113,2026-03-14 01:00:49,2026-03-14 05:07:49,247,Network disconnect,Planned,2.7444444444444445,2026-03-14,2026,3,March,2026-03,False
DT-1080,MCH-112,2026-03-27 08:11:56,2026-03-27 15:12:56,421,Sensor fault,Unplanned,4.677777777777778,2026-03-27,2026,3,March,2026-03,True
DT-1081,MCH-112,2026-04-26 10:55:15,2026-04-26 18:18:15,443,Sensor fault,Unplanned,4.9222222222222225,2026-04-26,2026,4,April,2026-04,True
DT-1082,MCH-127,2026-04-05 11:01:13,2026-04-05 18:05:13,424,Mechanical failure,Unplanned,4.711111111111111,2026-04-05,2026,4,April,2026-04,True
DT-1083,MCH-119,2026-01-06 18:37:24,2026-01-07 01:34:24,417,Preventive maintenance,Planned,4.633333333333334,2026-01-06,2026,1,January,2026-01,False
DT-1084,MCH-113,2026-05-01 18:49:48,2026-05-02 01:08:48,379,Unknown,Unplanned,4.211111111111111,2026-05-01,2026,5,May,2026-05,True
DT-1085,MCH-101,2026-03-12 10:11:20,2026-03-12 14:53:20,282,Unknown,Planned,3.1333333333333333,2026-03-12,2026,3,March,2026-03,False
DT-1086,MCH-110,2026-02-20 07:32:31,2026-02-20 12:36:31,304,Network disconnect,Unplanned,3.3777777777777778,2026-02-20,2026,2,February,2026-02,True
DT-1087,MCH-110,2026-03-18 17:40:21,2026-03-18 18:33:21,53,Power interruption,Planned,0.5888888888888889,2026-03-18,2026,3,March,2026-03,False
DT-1088,MCH-116,2026-03-07 19:18:07,2026-03-07 23:08:07,230,Power interruption,Unplanned,2.5555555555555554,2026-03-07,2026,3,March,2026-03,True
DT-1089,MCH-101,2026-01-25 19:45:36,2026-01-26 03:10:36,445,Mechanical failure,Planned,4.944444444444445,2026-01-25,2026,1,January,2026-01,False
DT-1090,MCH-104,2026-05-14 02:04:52,2026-05-14 08:36:52,392,Mechanical failure,Unplanned,4.355555555555555,2026-05-14,2026,5,May,2026-05,True
DT-1091,MCH-115,2026-01-21 11:41:06,2026-01-21 16:33:06,292,Power interruption,Unplanned,3.2444444444444445,2026-01-21,2026,1,January,2026-01,True
DT-1092,MCH-103,2026-01-23 15:34:58,2026-01-23 22:45:58,431,Sensor fault,Unplanned,4.788888888888889,2026-01-23,2026,1,January,2026-01,True
DT-1093,MCH-109,2026-03-21 17:23:37,2026-03-21 22:38:37,315,Unknown,Unplanned,3.5,2026-03-21,2026,3,March,2026-03,True
DT-1094,MCH-124,2026-05-05 20:14:11,2026-05-06 03:08:11,414,Power interruption,Planned,4.6,2026-05-05,2026,5,May,2026-05,False
DT-1095,MCH-102,2026-02-05 18:36:39,2026-02-05 23:06:39,270,Operator error,Unplanned,3.0,2026-02-05,2026,2,February,2026-02,True
DT-1096,MCH-110,2026-01-15 12:50:22,2026-01-15 14:00:22,70,Network disconnect,Planned,0.7777777777777778,2026-01-15,2026,1,January,2026-01,False
DT-1097,MCH-122,2026-04-22 10:05:05,2026-04-22 12:28:05,143,Software interface issue,Unplanned,1.5888888888888888,2026-04-22,2026,4,April,2026-04,True
DT-1098,MCH-113,2026-04-03 16:38:53,2026-04-04 00:00:53,442,Software interface issue,Planned,4.911111111111111,2026-04-03,2026,4,April,2026-04,False
DT-1099,MCH-116,2026-02-23 22:23:20,2026-02-24 01:35:20,192,Unknown,Planned,2.1333333333333333,2026-02-23,2026,2,February,2026-02,False
DT-1100,MCH-129,2026-01-02 19:56:47,2026-01-03 02:06:47,370,Software interface issue,Unplanned,4.111111111111111,2026-01-02,2026,1,January,2026-01,True
DT-1101,MCH-102,2025-12-09 17:40:49,2025-12-10 00:57:49,437,Software interface issue,Planned,4.855555555555555,2025-12-09,2025,12,December,2025-12,False
DT-1102,MCH-116,2026-02-24 07:47:40,2026-02-24 12:27:40,280,Power interruption,Unplanned,3.111111111111111,2026-02-24,2026,2,February,2026-02,True
DT-1103,MCH-127,2025-11-20 10:13:26,2025-11-20 14:46:26,273,Sensor fault,Planned,3.033333333333333,2025-11-20,2025,11,November,2025-11,False
DT-1104,MCH-105,2026-03-06 05:55:42,2026-03-06 06:35:42,40,Power interruption,Unplanned,0.4444444444444444,2026-03-06,2026,3,March,2026-03,True
DT-1105,MCH-114,2026-04-09 19:00:33,2026-04-09 20:05:33,65,Software interface issue,Planned,0.7222222222222222,2026-04-09,2026,4,April,2026-04,False
DT-1106,MCH-107,2026-01-07 23:26:09,2026-01-08 04:08:09,282,Operator error,Unplanned,3.1333333333333333,2026-01-07,2026,1,January,2026-01,True
DT-1107,MCH-129,2025-12-31 07:50:41,2025-12-31 09:53:41,123,Sensor fault,Planned,1.3666666666666667,2025-12-31,2025,12,December,2025-12,False
DT-1108,MCH-110,2026-03-30 15:33:36,2026-03-30 17:12:36,99,Preventive maintenance,Planned,1.1,2026-03-30,2026,3,March,2026-03,False
DT-1109,MCH-120,2026-01-18 18:13:29,2026-01-18 23:48:29,335,Operator error,Planned,3.7222222222222223,2026-01-18,2026,1,January,2026-01,False
DT-1110,MCH-108,2026-02-12 23:14:20,2026-02-13 04:44:20,330,Operator error,Planned,3.6666666666666665,2026-02-12,2026,2,February,2026-02,False
DT-1111,MCH-129,2026-04-03 19:30:18,2026-04-03 22:54:18,204,Sensor fault,Planned,2.2666666666666666,2026-04-03,2026,4,April,2026-04,False
DT-1112,MCH-130,2026-03-06 07:16:23,2026-03-06 14:21:23,425,Unknown,Unplanned,4.722222222222222,2026-03-06,2026,3,March,2026-03,True
DT-1113,MCH-126,2026-04-18 06:37:36,2026-04-18 11:28:36,291,Preventive maintenance,Planned,3.2333333333333334,2026-04-18,2026,4,April,2026-04,False
DT-1114,MCH-126,2025-12-02 04:09:20,2025-12-02 04:27:20,18,Unknown,Unplanned,0.2,2025-12-02,2025,12,December,2025-12,True
DT-1115,MCH-105,2026-03-18 12:12:45,2026-03-18 16:35:45,263,Unknown,Planned,2.922222222222222,2026-03-18,2026,3,March,2026-03,False
DT-1116,MCH-124,2025-12-12 20:35:00,2025-12-13 00:36:00,241,Software interface issue,Unplanned,2.6777777777777776,2025-12-12,2025,12,December,2025-12,True
DT-1117,MCH-127,2026-04-18 21:12:37,2026-04-18 22:39:37,87,Sensor fault,Planned,0.9666666666666667,2026-04-18,2026,4,April,2026-04,False
DT-1118,MCH-120,2026-01-12 01:59:27,2026-01-12 06:49:27,290,Sensor fault,Planned,3.2222222222222223,2026-01-12,2026,1,January,2026-01,False
DT-1119,MCH-101,2026-05-13 05:23:19,2026-05-13 07:40:19,137,Software interface issue,Unplanned,1.5222222222222221,2026-05-13,2026,5,May,2026-05,True
DT-1120,MCH-103,2025-12-14 13:58:50,2025-12-14 19:59:50,361,Unknown,Planned,4.011111111111111,2025-12-14,2025,12,December,2025-12,False
DT-1121,MCH-120,2026-02-26 03:44:11,2026-02-26 06:52:11,188,Unknown,Planned,2.088888888888889,2026-02-26,2026,2,February,2026-02,False
DT-1122,MCH-119,2026-03-27 09:03:31,2026-03-27 17:03:31,480,Mechanical failure,Planned,5.333333333333333,2026-03-27,2026,3,March,2026-03,False
DT-1123,MCH-106,2025-12-06 22:53:46,2025-12-06 23:44:46,51,Operator error,Unplanned,0.5666666666666667,2025-12-06,2025,12,December,2025-12,True
DT-1124,MCH-128,2025-12-20 15:28:27,2025-12-20 18:47:27,199,Software interface issue,Unplanned,2.2111111111111112,2025-12-20,2025,12,December,2025-12,True
DT-1125,MCH-123,2026-02-18 07:48:14,2026-02-18 10:52:14,184,Software interface issue,Planned,2.0444444444444443,2026-02-18,2026,2,February,2026-02,False
DT-1126,MCH-129,2026-03-23 06:09:36,2026-03-23 10:42:36,273,Mechanical failure,Unplanned,3.033333333333333,2026-03-23,2026,3,March,2026-03,True
DT-1127,MCH-122,2026-01-24 12:00:23,2026-01-24 13:43:23,103,Software interface issue,Unplanned,1.1444444444444444,2026-01-24,2026,1,January,2026-01,True
DT-1128,MCH-122,2026-03-16 21:47:12,2026-03-17 03:12:12,325,Power interruption,Planned,3.611111111111111,2026-03-16,2026,3,March,2026-03,False
DT-1129,MCH-110,2025-11-23 13:45:08,2025-11-23 20:26:08,401,Mechanical failure,Unplanned,4.455555555555556,2025-11-23,2025,11,November,2025-11,True
DT-1130,MCH-117,2025-12-08 20:38:50,2025-12-08 23:33:50,175,Unknown,Planned,1.9444444444444444,2025-12-08,2025,12,December,2025-12,False
DT-1131,MCH-122,2025-12-22 12:23:26,2025-12-22 19:14:26,411,Sensor fault,Planned,4.566666666666666,2025-12-22,2025,12,December,2025-12,False
DT-1132,MCH-108,2026-01-26 12:01:06,2026-01-26 19:55:06,474,Sensor fault,Unplanned,5.266666666666667,2026-01-26,2026,1,January,2026-01,True
DT-1133,MCH-117,2026-02-07 04:43:50,2026-02-07 10:49:50,366,Network disconnect,Planned,4.066666666666666,2026-02-07,2026,2,February,2026-02,False
DT-1134,MCH-108,2026-01-24 04:14:54,2026-01-24 06:14:54,120,Unknown,Unplanned,1.3333333333333333,2026-01-24,2026,1,January,2026-01,True
DT-1135,MCH-105,2025-12-12 06:40:02,2025-12-12 12:47:02,367,Network disconnect,Unplanned,4.0777777777777775,2025-12-12,2025,12,December,2025-12,True
DT-1136,MCH-124,2026-02-09 11:32:12,2026-02-09 16:04:12,272,Preventive maintenance,Unplanned,3.022222222222222,2026-02-09,2026,2,February,2026-02,True
DT-1137,MCH-117,2025-12-11 08:00:48,2025-12-11 15:44:48,464,Operator error,Planned,5.155555555555556,2025-12-11,2025,12,December,2025-12,False
DT-1138,MCH-109,2026-01-31 20:20:03,2026-02-01 00:37:03,257,Preventive maintenance,Planned,2.8555555555555556,2026-01-31,2026,1,January,2026-01,False
DT-1139,MCH-118,2026-02-20 15:01:19,2026-02-20 19:52:19,291,Mechanical failure,Planned,3.2333333333333334,2026-02-20,2026,2,February,2026-02,False
DT-1140,MCH-102,2026-01-16 11:22:14,2026-01-16 18:15:14,413,Software interface issue,Planned,4.588888888888889,2026-01-16,2026,1,January,2026-01,False
DT-1141,MCH-114,2026-04-11 08:43:40,2026-04-11 10:50:40,127,Software interface issue,Unplanned,1.4111111111111112,2026-04-11,2026,4,April,2026-04,True
DT-1142,MCH-121,2026-03-26 00:32:37,2026-03-26 05:27:37,295,Operator error,Unplanned,3.2777777777777777,2026-03-26,2026,3,March,2026-03,True
DT-1143,MCH-128,2026-05-03 22:55:37,2026-05-04 02:26:37,211,Power interruption,Unplanned,2.3444444444444446,2026-05-03,2026,5,May,2026-05,True
DT-1144,MCH-123,2026-04-15 22:58:49,2026-04-15 23:27:49,29,Operator error,Unplanned,0.32222222222222224,2026-04-15,2026,4,April,2026-04,True
DT-1145,MCH-119,2025-12-24 21:56:06,2025-12-24 22:23:06,27,Mechanical failure,Unplanned,0.3,2025-12-24,2025,12,December,2025-12,True
DT-1146,MCH-119,2026-03-05 12:48:25,2026-03-05 17:43:25,295,Power interruption,Planned,3.2777777777777777,2026-03-05,2026,3,March,2026-03,False
DT-1147,MCH-107,2026-02-19 07:03:09,2026-02-19 08:18:09,75,Software interface issue,Unplanned,0.8333333333333334,2026-02-19,2026,2,February,2026-02,True
DT-1148,MCH-114,2026-04-16 08:30:38,2026-04-16 12:24:38,234,Network disconnect,Planned,2.6,2026-04-16,2026,4,April,2026-04,False
DT-1149,MCH-115,2026-01-02 21:03:12,2026-01-03 00:38:12,215,Power interruption,Unplanned,2.388888888888889,2026-01-02,2026,1,January,2026-01,True
DT-1150,MCH-109,2026-01-25 01:52:07,2026-01-25 03:21:07,89,Sensor fault,Planned,0.9888888888888889,2026-01-25,2026,1,January,2026-01,False
DT-1151,MCH-130,2026-03-26 19:19:44,2026-03-26 23:06:44,227,Power interruption,Planned,2.522222222222222,2026-03-26,2026,3,March,2026-03,False
DT-1152,MCH-114,2026-01-04 00:04:32,2026-01-04 07:23:32,439,Mechanical failure,Unplanned,4.877777777777778,2026-01-04,2026,1,January,2026-01,True
DT-1153,MCH-108,2026-03-13 08:03:57,2026-03-13 15:49:57,466,Software interface issue,Planned,5.177777777777778,2026-03-13,2026,3,March,2026-03,False
DT-1154,MCH-129,2026-01-05 07:09:09,2026-01-05 15:01:09,472,Operator error,Planned,5.2444444444444445,2026-01-05,2026,1,January,2026-01,False
DT-1155,MCH-105,2026-03-04 14:24:41,2026-03-04 15:31:41,67,Sensor fault,Unplanned,0.7444444444444445,2026-03-04,2026,3,March,2026-03,True
DT-1156,MCH-114,2026-03-17 20:34:36,2026-03-17 22:45:36,131,Sensor fault,Planned,1.4555555555555555,2026-03-17,2026,3,March,2026-03,False
DT-1157,MCH-115,2026-04-30 04:31:26,2026-04-30 09:09:26,278,Unknown,Unplanned,3.088888888888889,2026-04-30,2026,4,April,2026-04,True
DT-1158,MCH-130,2026-02-12 11:24:46,2026-02-12 16:59:46,335,Software interface issue,Planned,3.7222222222222223,2026-02-12,2026,2,February,2026-02,False
DT-1159,MCH-106,2026-01-15 09:14:00,2026-01-15 16:10:00,416,Network disconnect,Planned,4.622222222222222,2026-01-15,2026,1,January,2026-01,False
DT-1160,MCH-117,2026-01-01 02:40:27,2026-01-01 07:33:27,293,Sensor fault,Planned,3.2555555555555555,2026-01-01,2026,1,January,2026-01,False
DT-1161,MCH-117,2026-01-21 14:00:26,2026-01-21 17:22:26,202,Power interruption,Unplanned,2.2444444444444445,2026-01-21,2026,1,January,2026-01,True
DT-1162,MCH-114,2026-04-26 16:50:36,2026-04-26 18:46:36,116,Unknown,Unplanned,1.288888888888889,2026-04-26,2026,4,April,2026-04,True
DT-1163,MCH-105,2025-12-11 17:34:50,2025-12-11 19:08:50,94,Unknown,Unplanned,1.0444444444444445,2025-12-11,2025,12,December,2025-12,True
DT-1164,MCH-114,2026-01-23 21:17:17,2026-01-24 03:05:17,348,Power interruption,Planned,3.8666666666666667,2026-01-23,2026,1,January,2026-01,False
DT-1165,MCH-105,2025-12-08 23:17:38,2025-12-09 02:50:38,213,Sensor fault,Planned,2.3666666666666667,2025-12-08,2025,12,December,2025-12,False
DT-1166,MCH-114,2026-02-01 02:05:15,2026-02-01 05:55:15,230,Unknown,Unplanned,2.5555555555555554,2026-02-01,2026,2,February,2026-02,True
DT-1167,MCH-122,2025-11-26 14:12:42,2025-11-26 18:35:42,263,Software interface issue,Planned,2.922222222222222,2025-11-26,2025,11,November,2025-11,False
DT-1168,MCH-113,2026-03-22 15:47:48,2026-03-22 21:54:48,367,Software interface issue,Planned,4.0777777777777775,2026-03-22,2026,3,March,2026-03,False
DT-1169,MCH-119,2026-04-22 09:44:28,2026-04-22 11:48:28,124,Operator error,Planned,1.3777777777777778,2026-04-22,2026,4,April,2026-04,False
DT-1170,MCH-110,2026-04-29 06:23:44,2026-04-29 11:22:44,299,Operator error,Unplanned,3.3222222222222224,2026-04-29,2026,4,April,2026-04,True
DT-1171,MCH-124,2025-11-20 04:22:24,2025-11-20 06:21:24,119,Preventive maintenance,Planned,1.3222222222222222,2025-11-20,2025,11,November,2025-11,False
